"","tax1","tax2","tax3","tax4","tax5","tax6","tax7"
"OTU_28627","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_1142","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_1968","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium concavorugulosum"
"OTU_70964","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_3931","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_744","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU_56504","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_2825","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__unidentified","s__Halosphaeriaceae sp"
"OTU_419","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Sporobolomyces","s__Sporobolomyces sp Gr"
"OTU_51476","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria alternata"
"OTU_44365","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_832","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia",NA
"OTU_1407","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis",NA,NA
"OTU_779","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Antrodia","s__Antrodia macra"
"OTU_1697","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Togniniaceae","g__Phaeoacremonium","s__Phaeoacremonium sp A27"
"OTU_62297","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_62659","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_63751","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_59412","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_16757","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Xenomeris","s__Xenomeris juniperi"
"OTU_35642","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_75221","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"OTU_65173","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_51064","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__unidentified","g__unidentified","s__Pleosporales sp 1 MU_2012"
"OTU_75775","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_57470","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_2861","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae",NA,NA
"OTU_548","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified",NA
"OTU_368","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU_1347","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Teratosphaeria","s__Teratosphaeria pseudafricana"
"OTU_42434","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae",NA,NA
"OTU_20084","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_1611","Unclassified",NA,NA,NA,NA,NA,NA
"OTU_58883","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU_44882","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_72607","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_64226","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_760","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,NA
"OTU_1758","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_70642","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae",NA,NA
"OTU_46657","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_53921","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_66296","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_346","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU_54919","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_748","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_895","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Rhodotorula",NA
"OTU_53202","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae",NA,NA
"OTU_1068","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Hypocrea","s__Hypocrea lixii"
"OTU_70378","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_57870","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_57990","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_59885","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Tylospora","s__Tylospora sp"
"OTU_920","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__Coprinellus disseminatus"
"OTU_734","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma",NA
"OTU_247","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Antrodiella","s__Antrodiella brasiliensis"
"OTU_1046","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__unidentified","g__unidentified","s__Trichomerium deniqulatum"
"OTU_60321","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Stagonospora",NA
"OTU_31775","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma","s__Lophiostoma fuckelii"
"OTU_33828","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_41817","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_57955","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_65154","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_74307","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_221","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis","g__Cryptococcus","s__Cryptococcus sp NYNU 1337"
"OTU_50349","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae",NA,NA
"OTU_75571","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU_55369","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_989","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae sedis","f__Incertae sedis","g__Peltaster","s__Peltaster fructicola"
"OTU_1593","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Physalacriaceae",NA,NA
"OTU_2619","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU_62754","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium tenuissimum"
"OTU_46106","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_762","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Hyphoderma","s__Hyphoderma setigerum"
"OTU_43175","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_71558","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_66672","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_1811","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Postia","s__Postia caesia"
"OTU_53305","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU_308","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Fibroporia","s__Fibroporia vaillantii"
"OTU_64931","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_62911","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_35475","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_347","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__Trichoderma atroviride"
"OTU_1227","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__unidentified","g__unidentified","s__Pleosporales sp MUT 4397"
"OTU_49171","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_51617","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_36882","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_46305","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Sporobolomyces",NA
"OTU_58540","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU_64507","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae",NA,NA
"OTU_67002","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_1191","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__Exophiala sp SST_2011"
"OTU_4687","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU_118","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae sedis","g__Stachybotrys","s__Stachybotrys sp BF2"
"OTU_73228","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_65405","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Pleurotus",NA
"OTU_1980","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_70941","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_783","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Tylospora","s__Tylospora sp"
"OTU_63713","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium tenuissimum"
"OTU_3957","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_592","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium","s__Botryobasidium intertextum"
"OTU_25865","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Daedaleopsis","s__Daedaleopsis confragosa"
"OTU_61680","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_73970","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus oeirensis"
"OTU_68002","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae",NA,NA
"OTU_1370","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU_871","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae sedis","f__Incertae sedis","g__Leptospora","s__Leptospora rubella"
"OTU_4730","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Neofusicoccum","s__Neofusicoccum parvum"
"OTU_18918","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis",NA,NA
"OTU_8367","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU_51989","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_1602","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU_401","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Incertae sedis","f__Incertae sedis","g__Resinicium","s__Resinicium bicolor"
"OTU_257","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meripilaceae","g__Grifola","s__Grifola frondosa"
"OTU_69991","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_14317","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_66437","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium",NA
"OTU_34540","k__Fungi","p__Ascomycota","c__Incertae sedis","o__Incertae sedis","f__Incertae sedis","g__Microcyclospora","s__Microcyclospora quercina"
"OTU_50854","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_60318","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_65449","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_69412","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_515","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_57126","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_26042","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__unidentified","s__Pleosporales sp"
"OTU_63155","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_39702","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_58262","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_2064","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_62722","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_73774","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_34878","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU_42071","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Hypocrea","s__Hypocrea koningii"
"OTU_74987","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_61255","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"OTU_15877","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA
"OTU_61217","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_36347","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_39628","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_60056","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Lewia","s__Lewia infectoria"
"OTU_75737","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_55660","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Lewia","s__Lewia infectoria"
"OTU_42925","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria brassicae"
"OTU_1081","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Sporobolomyces","s__Sporobolomyces gracilis"
"OTU_1471","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae",NA,NA
"OTU_204","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Incertae sedis","g__Microdochium","s__Microdochium bolleyi"
"OTU_70827","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU_1124","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU_565","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__unidentified","s__Clavulinaceae sp"
"OTU_27766","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU_64598","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU_70979","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_49368","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae",NA,NA
"OTU_57256","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota sp BF043"
"OTU_62981","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__unidentified","s__uncultured Cladosporium"
"OTU_50624","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_35137","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Ascochyta","s__Ascochyta hordei"
"OTU_75959","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria sp 3 MU_2012"
"OTU_43552","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae",NA,NA
"OTU_47266","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_25333","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_1810","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_16912","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU_46159","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Capnobotryella","s__Capnobotryella sp MA 4775"
"OTU_70517","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_50897","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_23826","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_42373","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_43534","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium",NA
"OTU_801","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Venturiaceae","g__unidentified","s__Venturiaceae sp"
"OTU_28486","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae sedis","g__Toxicocladosporium","s__Toxicocladosporium sp FF_2011"
"OTU_65296","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU_1534","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_707","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_68688","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__Cystofilobasidium capitatum"
"OTU_1085","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__Entoloma abortivum"
"OTU_38847","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_52534","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_59549","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis","g__Sporobolomyces","s__Sporobolomyces oryzicola"
"OTU_72023","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus flavus"
"OTU_361","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae sedis","g__Myrothecium",NA
"OTU_4930","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Golovinomyces","s__Golovinomyces orontii"
"OTU_15236","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma",NA
"OTU_203","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae sedis","g__Myrothecium","s__Myrothecium roridum"
"OTU_3473","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus albidus"
"OTU_47278","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Ascochyta","s__Ascochyta hordei"
"OTU_44489","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Incertae sedis","g__Khuskia","s__Khuskia oryzae"
"OTU_47596","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_2509","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Incertae sedis",NA,NA
"OTU_1891","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU_1782","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus fuscescens"
"OTU_71995","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma","s__Phoma exigua"
"OTU_1800","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Incertae sedis","g__Cryptococcus","s__Cryptococcus pinus"
"OTU_3254","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus albidus"
"OTU_71145","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus albidus"
"OTU_13350","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium sporotrichioides"
"OTU_50729","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_52578","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_1090","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__Coprinopsis lagopus"
"OTU_36308","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__unidentified","g__unidentified","s__Pleosporales sp E8604b"
"OTU_4683","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Incertae sedis","g__Phoma","s__Phoma macrostoma"
"OTU_50174","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria alternata"
"OTU_787","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__unidentified","g__unidentified","s__Trichomerium foliicola"
"OTU_575","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Incertae sedis","f__Incertae sedis","g__Resinicium","s__Resinicium rimulosum"
"OTU_51166","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU_22288","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU_26360","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","g__Cladosporium","s__Cladosporium sphaerospermum"
"OTU_675","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU_63313","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
