"","lon","lat"
"567",-95.4,29.8
"569",-75.6,39.7
"570",-75,40.2
"571",-78.6,35.9
"572",-83.9,35.9
"573",-93.2,44.9
"574",-81.4,28.6
"575",-89.7,43
"576",-104.9,38.8
"577",-75.7,36.1
"578",-79.1,35.9
"579",-97.1,33.2
"580",-80.4,25.6
"581",-78.6,36.3
"582",-97.3,32.4
"583",-117.6,33.5
"584",-109.9,31.4
"585",-71,42.4
"586",-82.7,28
"587",-112,33.5
"588",-80.4,27.6
"589",-81.1,38.1
"590",-82.4,29.7
"591",-91.2,40.8
"592",-75.3,43.1
"593",-88.9,42.8
"596",-88,42.1
"597",-81.1,32
"598",-81.8,36.2
"599",-89.7,44.4
"600",-78.8,35.7
"601",-82,35.3
"602",-82.4,29.7
"604",-90.1,37.3
"606",-93.3,44.9
"607",-93.2,44.9
"608",-94.6,39.1
"609",-96.7,33
"610",-124.2,43.4
"611",-71.4,41.8
"614",-97.3,31.2
"615",-122.2,47.7
"617",-73.9,40.8
"618",-80.7,35.1
"619",-70.9,42.6
"620",-117,46.4
"621",-74.1,41.6
"622",-108.7,33.3
"624",-88.5,44.4
"625",-71.2,42.4
"626",-88.7,32.4
"627",-78.9,36
"628",-117.1,32.7
"631",-79.1,35.9
"632",-121.3,44.1
"633",-94.7,39
"634",-122.6,38.5
"635",-97.1,32.8
"636",-97.3,32.8
"637",-71.4,41.7
"638",-85.5,42.5
"639",-77.2,38.9
"640",-123.1,46.1
"641",-97.4,32.7
"642",-86,42.7
"643",-123.1,47.1
"645",-84.4,33.9
"648",-80.1,42.1
"649",-91.1,41.8
"650",-85.2,34.3
"651",-92,38.8
"652",-79.1,35.9
"653",-83.7,42.5
"654",-122.3,37.8
"655",-80.4,33.6
"656",-81.5,28.6
"657",-95.1,29.5
"659",-91.7,44.1
"660",-93.3,45
"662",-82.4,29.6
"663",-71.2,42.4
"664",-79,38.4
"665",-73.5,40.7
"666",-88.6,43.3
"667",-75.1,39.9
"668",-75.2,40
"670",-122.4,37.8
"671",-80.5,35.7
"672",-116.5,43.7
"673",-71.1,42.3
"674",-118.5,34
"675",-83.7,42.2
"676",-105,39.7
"677",-88.5,37.6
"678",-96.7,33
"679",-78.9,36
"680",-94.6,39
"681",-103.4,32.9
"683",-73.8,41.1
"684",-88.2,43.1
"685",-87.9,43.1
"686",-80.5,27.8
"687",-96.7,33
"688",-96.2,30.7
"689",-89.6,40.8
"691",-77.7,37.4
"692",-106.6,35.1
"693",-93.3,37.2
"695",-71.3,42.9
"696",-88.8,42.8
"697",-85.7,31.3
"698",-122.4,47.1
"699",-80.9,35.8
"700",-78.5,38
"701",-69.3,44.6
"702",-74.9,41
"703",-78.6,35.9
"704",-92.4,39
"705",-97.5,35.4
"706",-121.9,37.7
"707",-78.1,39.2
"708",-71.1,42.4
"709",-77.4,39
"710",-87.7,41.9
"711",-79,36.1
"712",-79,35.2
"713",-74.8,40.9
"714",-82.9,40
"716",-83,40
"717",-88.1,43.1
"718",-80.9,35.2
"719",-78.8,42.9
"720",-74.9,41.5
"721",-105.2,39.7
"722",-79.1,35.8
"723",-91.2,44.5
"724",-79.1,36
"725",-78.7,40.4
"726",-78.7,35.8
"728",-72.7,41.5
"730",-82.4,35.5
"731",-89.4,43.1
"732",-88.2,40.1
"733",-80,39.7
"736",-72.3,42.2
"737",-71.4,41.8
"738",-97.1,36.2
"739",-121.9,37.5
"740",-89.2,42.7
"741",-87.6,38.1
"742",-112,40.7
"743",-89.2,45.9
"744",-78.2,39.2
"745",-79,35.9
"746",-104.9,39.7
"749",-97,33.1
"750",-79.4,35.2
"751",-121.9,37.3
"752",-76.6,39.3
"753",-122,37
"754",-78.9,38.4
"755",-78.7,35.9
"756",-79.9,42.1
"757",-76.6,39.4
